	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
S_23_10_25	0.15282863119836504	0.10971344317627683	0.17968082670271016	0.13173037843024468	0.22521936628108516	0.15475030416301527	0.14018421603069475	0.12783730621774222	0.1770033646133302	0.1914693943391599	0.11308917271444874	0.0	0.10003558615106219	0.13612984415400653	0.16002347421474056	0.0798875500717296	0.1223185564007802	0.1263601462539348	0.30930822089609616	0.12203072595249886	0.1507811672754497	0.13286028129618954	0.14995301932481253
S_24_01_04	0.09793107008617594	0.08685145759191652	0.12178939859075641	0.10255949909360094	0.18871422815920258	0.10733383682007215	0.12910689386264176	0.16260944963454402	0.12230206433388238	0.12481004283432029	0.07394746691673876	0.10003558615106219	0.0	0.07480844584401236	0.1604818089585772	0.07172897825670156	0.10447752085484602	0.06987778199578093	0.349275918371438	0.09706329916609761	0.15034000968362238	0.13248802069127225	0.11134644915626936
S_24_03_04	0.0906582244248675	0.09323423816778634	0.07600897470019538	0.08237068217000977	0.1727426168928166	0.1077100706947716	0.15318613213882226	0.1876060095798167	0.07751473482273183	0.09758423232319952	0.06966703422264453	0.13612984415400653	0.07480844584401236	0.0	0.1726635050387513	0.10392865268174144	0.13296923712797676	0.04963077671143258	0.3783353906860082	0.10022620386051914	0.17680866098470693	0.15185506179585564	0.09799142226539034
S_24_04_16	0.1983906163920486	0.1580747530942071	0.19527367525070902	0.15022290038792618	0.19921844056270616	0.18908525473529178	0.12197725349362759	0.1396550468782473	0.19357406257950724	0.22300258397761535	0.17123909607846052	0.16002347421474056	0.1604818089585772	0.1726635050387513	0.0	0.14876206193164343	0.16892376300583306	0.16469382830892823	0.3300502540681309	0.14060843601588682	0.17263512664703967	0.15408913236779928	0.16861890448655295
S_24_07_05	0.12391809722192806	0.10424171537657141	0.14662029753396075	0.12550438060505115	0.19015914377805385	0.1367140055301164	0.11963180903894131	0.14720535847482508	0.1515023391969327	0.16009322462362943	0.0888748976747655	0.0798875500717296	0.07172897825670156	0.10392865268174144	0.14876206193164343	0.0	0.116061830143212	0.101145003241429	0.32369022646185003	0.10906571953161856	0.14758515256591362	0.13034801610644378	0.12257860168788477
S_24_09_05	0.1351935129718044	0.09963368180827024	0.16494352546064148	0.1473537374593334	0.24497828947843833	0.1092293693229521	0.1438466423080074	0.14147725711365405	0.17603289243259607	0.14105287800146513	0.1031953952355152	0.1223185564007802	0.10447752085484602	0.13296923712797676	0.16892376300583306	0.116061830143212	0.0	0.11781933229594593	0.28597345242004146	0.13138580719577436	0.14065971048794343	0.12509325834526325	0.16719783045731365
S_24_11_06	0.08640418766484859	0.0794165054813775	0.08699051570971968	0.07444475303031466	0.1769394239469658	0.09301191323556111	0.15420630974109495	0.17674049200348543	0.09311863023676592	0.09563873446210203	0.05939012504735204	0.1263601462539348	0.06987778199578093	0.04963077671143258	0.16469382830892823	0.101145003241429	0.11781933229594593	0.0	0.3656646386627452	0.08995880399688565	0.16114808695101093	0.1387095932504864	0.09459120456871521
S_25_03_07	0.37835192550537877	0.33060462378601935	0.4040554861782446	0.37035503782196705	0.4299444482297716	0.34472586580720144	0.329250473645077	0.2784214322678496	0.41682160444949495	0.38373365122331654	0.347847985834999	0.30930822089609616	0.349275918371438	0.3783353906860082	0.3300502540681309	0.32369022646185003	0.28597345242004146	0.3656646386627452	0.0	0.3465339063110228	0.24931395998373873	0.2653096823770947	0.3891063762366995
S_25_04_30	0.12506475712760765	0.09857880306239238	0.1258297387747775	0.08347647636474248	0.18551895346099712	0.12461332287736154	0.1550166757024774	0.1597397415859258	0.12797699663000295	0.1494952042489533	0.10248795963681563	0.12203072595249886	0.09706329916609761	0.10022620386051914	0.14060843601588682	0.10906571953161856	0.13138580719577436	0.08995880399688565	0.3465339063110228	0.0	0.14010393116317432	0.10484536148038531	0.09764592423236274
S_25_07_10	0.17589837862071603	0.14143408842983668	0.21084826208773594	0.1672290794528388	0.22899317420595233	0.16384180467256523	0.1852374292035171	0.142687218971661	0.21658207533264864	0.20384409154418254	0.15030630573350845	0.1507811672754497	0.15034000968362238	0.17680866098470693	0.17263512664703967	0.14758515256591362	0.14065971048794343	0.16114808695101093	0.24931395998373873	0.14010393116317432	0.0	0.07799770440557892	0.17735106321976662
S_25_09_12	0.17060898606082056	0.12382737381174519	0.18139204949012055	0.14040339474349822	0.2302672614497316	0.15738050588297361	0.1650228909971216	0.13527954270097942	0.18553738237338166	0.19201249475447194	0.13514566449850596	0.13286028129618954	0.13248802069127225	0.15185506179585564	0.15408913236779928	0.13034801610644378	0.12509325834526325	0.1387095932504864	0.2653096823770947	0.10484536148038531	0.07799770440557892	0.0	0.15801592045642765
S_25_11_25	0.10555943657906879	0.11297155061874416	0.11528289756924841	0.09524206687145813	0.15183126745414127	0.1356185580182948	0.1791013806725258	0.20122870344155008	0.11257919453671768	0.13422394902250262	0.1045840846775662	0.14995301932481253	0.11134644915626936	0.09799142226539034	0.16861890448655295	0.12257860168788477	0.16719783045731365	0.09459120456871521	0.3891063762366995	0.09764592423236274	0.17735106321976662	0.15801592045642765	0.0
