contig_id	MAG_ID
ctg19015	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg19915	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg20147	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg20236	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg20493	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg22253	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg22373	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg23000	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg23030	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg23772	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg24946	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg25213	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg25791	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg29500	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg33448	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg34872	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg35550	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg35990	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg36879	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg37966	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg38380	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg38868	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg39531	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg41567	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg1458	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg1855	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg2336	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg6456	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg10701	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg11311	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg12893	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg17494	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg23194	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg25659	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg26964	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg30544	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg31390	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg34034	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg36241	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg37551	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
ctg38052	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0
