sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_21_10_22	phylum	Candidatus Absconditabacteria	221235	4.3119073728215886e-05	1.4046384038591352e-05	3	0.0	6.333333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Micrarchaeota	1801631	2.0424541252853785e-05	1.174074021519421e-05	3	0.0	3.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Coprothermobacterota	2138240	1.70408028071347e-05	4.734901803233977e-06	2	0.0	2.5	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Nanohaloarchaeota	1462430	1.3646075228902468e-05	6.596797846401844e-08	2	0.0	2.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Preplasmiviricota	2732008	6.846360816907772e-06		1	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Kitrinoviricota	2732406	6.823037614451234e-06	3.298398923200922e-08	2	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Negarnaviricota	2497569	6.821327738529528e-06	3.540211895046037e-08	2	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Cossaviricota	2732415	6.814123296351251e-06	2.7970823627338908e-08	3	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Cressdnaviricota	2732416	6.796294660151285e-06		1	0.0	1.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Proteobacteria	1224	0.5668620549875496	0.0	3	3734.0	88100.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Actinobacteria	201174	0.08954618864088228	0.0	3	109.0	13917.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Bacteroidetes	976	0.06507010172632338	0.0	3	300.0	10113.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Cyanobacteria	1117	0.055470122316091545	0.0	3	373.0	8621.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
