contig_id	MAG_ID
ctg26298	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg26997	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg30316	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg31859	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg36014	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg988	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg6443	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg9751	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg13620	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg13698	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg19811	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg22215	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg25946	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg32182	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg40015	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg55658	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg59860	METAMDBG-MetaBAT2Refined-group-group_240304.148
ctg3126	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg3398	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg4179	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg5927	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg8748	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg11161	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg11668	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg13695	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg14059	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg16028	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg17822	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg18471	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg18613	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg18956	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg19803	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg22654	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg24579	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg25602	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg27259	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg29060	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg33124	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg35792	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg36022	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg36355	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg37695	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg38150	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg38529	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg39395	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg40923	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg42042	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg44940	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg47120	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg47206	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg47452	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg49482	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg49685	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg52242	METAMDBG-MetaBAT2Refined-group-group_240304.160
ctg53531	METAMDBG-MetaBAT2Refined-group-group_240304.160
